date,reply count,sentiment type,sentiment score,change_percent2,volume2
2021-09-21,295,neutral,0.8239299,-0.08,3044300000
2021-09-22,718,neutral,0.52144253,0.95,3273670000
2021-09-27,643,neutral,0.5172128,-0.28,3032870000
2021-09-28,510,neutral,0.5873949,-2.04,3495970000
2021-10-01,874,neutral,0.91354877,1.15,3148980000
2021-10-04,1549,neutral,0.47284392,-1.3,3110560000
2021-10-05,3384,neutral,0.6043829,1.05,2967400000
2021-10-11,562,neutral,0.7884836,-0.69,2580000000
2021-10-13,374,neutral,0.69173515,0.3,2926460000
2021-10-15,316,neutral,0.9247564,0.75,3000560000
2021-10-18,526,neutral,0.6360816,0.34,2683540000
2021-10-21,1314,neutral,0.7148619,0.3,3016950000
2021-10-22,313,neutral,0.78060514,-0.11,3062810000
2021-10-25,798,neutral,0.55606395,0.47,3250210000
2021-10-26,1127,neutral,0.6282611,0.18,2866500000
2021-10-27,1182,neutral,0.84755176,-0.51,3259510000
2021-10-28,854,neutral,0.5873742,0.98,3197560000
2021-11-01,8093,neutral,0.6872769,0.18,2924000000
2021-11-02,2139,neutral,0.5559004,0.37,3309690000
2021-11-04,1448,neutral,0.558291,0.42,3332940000
2021-11-08,54577,neutral,0.7127398,0.09,3465720000
2021-11-12,1382,neutral,0.809651,0.72,2865790000
2021-11-15,357,neutral,0.57248616,-0.0,2618980000
2021-11-16,1179,neutral,0.89335567,0.39,2838210000
2021-11-17,639,neutral,0.61522776,-0.26,3221250000
2021-11-19,600,neutral,0.68709373,-0.14,3265600000
2021-11-22,942,neutral,0.82350314,-0.32,3206280000
2021-11-23,2668,neutral,0.52957743,0.17,3428780000
2021-11-24,568,neutral,0.5516622,0.23,2464040000
2021-11-26,408,neutral,0.61470747,-2.27,2676740000
2021-11-29,610,neutral,0.581671,1.32,3471380000
2021-12-01,9623,neutral,0.49672565,-1.18,4078260000
2021-12-03,274,neutral,0.763203,-0.84,3971500000
2021-12-07,6091,neutral,0.6595614,2.07,3334320000
2021-12-08,1632,neutral,0.54706335,0.31,3061550000
2021-12-13,831,neutral,0.7132612,-0.91,3322050000
