date,reply count,sentiment type,sentiment score,change_percent,volume
2021-12-13,831,neutral,0.7132612,-4.98,26198499
2021-12-14,53778,neutral,0.68916583,-0.82,23602087
2021-12-16,365,neutral,0.6396036,-5.03,27590479
2021-12-22,333,neutral,0.718363,7.49,31211358
2021-12-23,7006,neutral,0.83951473,5.76,30904429
2021-12-27,796,neutral,0.51419544,2.52,23715269
2022-01-05,904,neutral,0.5302458,-5.35,26706599
2022-01-10,11923,neutral,0.8443973,3.03,30604960
2022-01-13,3550,neutral,0.51447445,-6.75,32403259
2022-01-14,37284,neutral,0.66785085,1.75,24308140
2022-01-18,1000,neutral,0.5526276,-1.82,22329800
2022-01-19,8752,neutral,0.7818615,-3.38,25147499
2022-01-20,589,neutral,0.64919454,0.06,23496247
2022-01-28,505,neutral,0.50122917,2.08,44929646
2022-01-31,386,neutral,0.7117037,10.68,34812030
2022-02-02,599,neutral,0.84220135,-2.75,22264349
2022-02-07,531,neutral,0.7839351,-1.73,20331489
2022-02-14,1019,neutral,0.7490366,1.83,22585470
2022-02-17,1008,neutral,0.8487923,-5.09,18392810
2022-02-18,1208,neutral,0.4630153,-2.21,22833948
2022-02-22,337,neutral,0.8853869,-4.14,27762728
2022-02-23,378,neutral,0.6650388,-7.0,31752339
2022-02-25,630,neutral,0.85722345,1.14,25355919
2022-03-01,792,neutral,0.6515723,-0.7,24922286
2022-03-02,1094,neutral,0.5657724,1.8,24881149
2022-03-03,687,neutral,0.5686697,-4.61,20541169
2022-03-04,816,neutral,0.66469646,-0.12,22393286
2022-03-07,12626,neutral,0.81817085,-4.02,24164720
2022-03-14,3429,neutral,0.7333613,-3.64,23717419
2022-03-15,897,neutral,0.56266874,4.63,22280380
2022-03-21,1038,neutral,0.5805876,1.74,27327220
2022-03-28,1371,neutral,0.84378046,8.03,34168687
2022-03-29,1054,neutral,0.83764994,0.71,24538269
2022-03-30,951,neutral,0.5201448,-0.51,19954999
2022-03-31,624,neutral,0.7373506,-1.5,16330919
2022-04-06,623,neutral,0.63097453,-4.17,29782847
2022-04-07,1387,neutral,0.78925127,1.1,26482349
2022-04-08,4299,neutral,0.6694527,-3.0,18337899
2022-04-11,3051,neutral,0.75686634,-4.83,19785739
2022-04-18,2334,neutral,0.55033255,1.96,17238409
2022-04-20,2849,neutral,0.7234601,-4.96,23570438
2022-04-21,490,neutral,0.51892483,3.23,35138780
2022-04-25,11837,neutral,0.71107906,-0.7,22780446
2022-04-29,2922,neutral,0.6692239,-0.77,29377669
2022-05-03,551,neutral,0.71622854,0.7,21236528
2022-05-13,415,neutral,0.7563582,5.71,30716909
2022-05-16,1552,neutral,0.59086907,-5.88,28699509
2022-05-17,696,neutral,0.63860023,5.14,26745366
2022-05-18,492,neutral,0.46658722,-6.8,29270599
2022-05-20,14228,neutral,0.62392133,-6.42,48324439
2022-05-23,28718,neutral,0.65533847,1.66,29634550
2022-05-25,1480,neutral,0.7798441,4.88,30713108
2022-05-26,393,neutral,0.83243835,7.43,35334448
2022-05-31,305,neutral,0.51424146,-0.18,33971460
2022-06-01,467,neutral,0.8744243,-2.36,25749319
2022-06-02,685,neutral,0.51945955,4.68,31157710
2022-06-03,8380,neutral,0.5681924,-9.22,37464577
2022-06-06,825,neutral,0.47919628,1.6,28068167
2022-06-07,1264,neutral,0.57299733,0.25,24269526
2022-06-08,375,neutral,0.4791557,1.25,25403538
2022-06-10,359,neutral,0.68789726,-3.12,32696968
2022-06-13,771,neutral,0.6488248,-7.1,34255753
2022-06-15,4275,neutral,0.70302594,5.48,39710647
2022-06-16,1516,neutral,0.6611898,-8.54,35796897
2022-07-07,15356,neutral,0.8095723,5.53,27310229
2022-07-11,2267,neutral,0.5927241,-6.55,33169737
2022-07-15,351,neutral,0.6454428,0.74,23227669
2022-07-19,5333,neutral,0.74751353,2.07,26963366
2022-07-22,485,neutral,0.61932087,0.2,34490952
2022-07-26,8064,neutral,0.5369085,-3.57,22273589
2022-07-27,368,neutral,0.6102736,6.17,29369999
2022-07-29,2233,neutral,0.7585678,5.78,31770960
2022-08-01,10607,neutral,0.74790126,0.04,39014300
2022-08-04,1155,neutral,0.4617078,0.4,24085438
2022-08-09,1572,neutral,0.68797845,-2.44,28748229
2022-08-10,3025,neutral,0.76821935,3.89,31639618
2022-08-11,402,neutral,0.7147504,-2.62,23385019
2022-08-19,470,neutral,0.78303385,-2.05,20465130
2022-08-25,965,neutral,0.9015294,-0.35,53230008
2022-08-29,2336,neutral,0.6675774,-1.14,41864738
2022-08-30,1071,neutral,0.76404417,-2.5,50541762
2022-09-06,7150,neutral,0.7558146,1.56,55859980
2022-09-08,705,neutral,0.4994938,1.96,53713121
2022-09-09,1376,neutral,0.53506243,3.6,54470848
2022-09-12,2750,neutral,0.825865,1.58,48674602
2022-09-13,392,neutral,0.6075675,-4.04,68229617
2022-09-15,1268,neutral,0.88502705,0.38,64795520
2022-09-20,515,neutral,0.53333485,-0.11,61642781
2022-09-21,599,neutral,0.8178303,-2.57,62555660
2022-09-22,529,neutral,0.8417599,-4.06,70545406
2022-09-28,367,neutral,0.51945746,1.72,54664809
2022-10-03,4808,neutral,0.83482224,-8.61,98363539
2022-10-06,1432,neutral,0.53509223,-1.11,69298438
2022-10-07,5484,neutral,0.7547754,-6.32,83916797
2022-10-11,493,neutral,0.6622736,-2.9,77013203
2022-10-13,1084,neutral,0.7661315,2.06,91483047
2022-10-17,564,neutral,0.54956836,7.01,79428805
2022-10-18,363,neutral,0.5504137,0.38,75891914
2022-10-21,488,neutral,0.9044686,3.45,75713750
2022-10-24,1279,neutral,0.69136447,-1.49,100446797
2022-11-02,557,neutral,0.77118474,-5.64,63070289
2022-11-07,282,neutral,0.61357045,-5.01,93916523
2022-11-14,3772,neutral,0.89347917,-2.56,92226648
2022-11-16,887,neutral,0.8260784,-3.86,66567602
2022-11-21,7991,neutral,0.86490184,-6.84,92882711
2022-11-28,2254,neutral,0.72836584,0.03,93038148
2022-11-30,659,neutral,0.7705231,7.67,109186398
2022-12-05,13226,neutral,0.70529324,-6.37,93122672
2022-12-12,737,neutral,0.73362637,-6.27,109794492
2022-12-15,468,neutral,0.9096081,0.55,122334492
2022-12-16,413,neutral,0.7661315,-4.72,139032188
2022-12-19,1337,neutral,0.6057932,-0.24,139390594
2022-12-22,1722,neutral,0.9031486,-8.88,210090297
