date,reply count,sentiment type,sentiment score,change_percent,volume
2015-04-06,117,positive,0.9235552,6.34,12455809
2015-04-09,66,positive,0.5074567,1.17,3800224
2015-04-13,214,positive,0.8868667,-0.53,3758229
2015-04-15,541,positive,0.7699525,0.18,1952377
2015-04-20,213,positive,0.8781433,-0.73,2559250
2015-04-27,120,positive,0.91041833,6.01,11672629
2015-04-28,232,positive,0.7534705,-0.46,6085378
2015-04-29,886,positive,0.6772363,0.86,3936076
2015-04-30,16,positive,0.9739358,-2.75,3911856
2015-05-04,211,positive,0.9238377,1.98,4434595
2015-05-12,16,positive,0.7523221,2.19,6363428
2015-06-01,36,positive,0.9695313,-0.54,2505056
2015-06-12,49,positive,0.9891352,-0.29,1422334
2015-06-15,39,positive,0.5367214,-0.12,2186174
2015-06-22,145,positive,0.95876884,-1.04,4561078
2015-06-23,135,positive,0.5699112,3.03,3870817
2015-06-29,46,positive,0.95877486,-1.9,3478908
2015-07-30,15,positive,0.95828533,1.13,2034559
2015-07-31,197,positive,0.5056005,-0.24,2222551
2015-08-10,35,positive,0.627975,-0.56,4185859
2015-08-17,130,positive,0.9672156,4.87,7176689
2015-08-24,219,positive,0.80290115,-5.16,9581583
2015-09-03,350,positive,0.52718747,-0.86,4194771
2015-09-14,24,positive,0.913855,1.18,2890850
2015-09-15,237,positive,0.8449472,0.15,2933465
2015-09-24,23,positive,0.98392135,0.79,3448190
2015-09-25,135,positive,0.97073114,-2.36,3773391
2015-09-28,130,positive,0.9243889,-3.3,4901056
2015-09-30,222,positive,0.564395,0.71,4929581
2015-10-05,233,positive,0.979652,-0.57,3689864
2015-10-12,386,positive,0.9780443,-2.32,3836302
2015-10-15,33,positive,0.87663656,2.04,2844232
2015-10-19,166,positive,0.98661286,0.48,2507894
2015-10-22,143,positive,0.98663473,0.78,2825158
2015-10-26,172,positive,0.828336,2.95,3391437
2015-10-27,85,positive,0.96952146,-2.28,3519448
2015-10-30,2,positive,0.9865609,-2.22,4438900
2015-11-03,16,positive,0.95420593,-2.54,8332484
