date,reply count,sentiment type,sentiment score,change_percent,volume
2017-08-28,57,negative,0.7363836,-0.69,3763955
2017-08-30,45,negative,0.74981105,1.68,3412942
2017-08-31,1089,negative,0.4724889,0.77,4072794
2017-09-14,55,negative,0.544429,3.12,7202523
2017-09-25,572,negative,0.62130094,-1.74,7605945
2017-09-27,573,negative,0.71769685,-1.24,6060329
2017-10-05,350,negative,0.5347842,0.09,4171674
2017-10-06,37,negative,0.8902966,0.44,4297473
2017-10-09,569,negative,0.8358387,-3.91,7493652
2017-10-18,867,negative,0.9414317,1.1,4939073
2017-10-24,1563,negative,0.91654825,0.09,4491671
2017-10-26,878,negative,0.6082453,0.1,5023499
2017-11-15,137,negative,0.87407595,0.84,5978664
2017-11-28,3522,negative,0.57928914,0.23,4949490
2017-12-04,1721,negative,0.87901443,-0.43,5835139
2017-12-12,431,negative,0.9364631,3.68,8733199
2017-12-14,817,negative,0.4583738,-0.34,5799915
2017-12-15,793,negative,0.9346496,1.65,6933199
2017-12-20,159,negative,0.974655,-0.64,5953799
2017-12-21,396,negative,0.92409873,0.81,4385221
2017-12-26,62,negative,0.6989483,-2.43,4378412
2018-01-29,5496,negative,0.95436275,1.95,4747148
2018-02-01,2790,negative,0.62930137,-1.43,4197686
2018-02-02,62,negative,0.5151703,-1.57,3704835
2018-02-05,4849,negative,0.6652432,-3.09,4464146
2018-02-12,121,negative,0.7351015,1.71,6227821
2018-02-20,582,negative,0.9183646,-0.21,4009434
2018-02-27,433,negative,0.6771557,-1.8,4797418
2018-02-28,568,negative,0.96713936,-2.26,6069657
2018-03-05,1289,negative,0.8126281,-0.53,3823768
2018-03-08,183,negative,0.8272922,-0.96,3566243
2018-03-12,987,negative,0.7827986,5.61,8264034
2018-03-15,172,negative,0.4461544,-0.32,6564800
2018-03-20,322,negative,0.48183495,-0.96,4764292
2018-03-21,380,negative,0.87970203,1.93,5958410
2018-03-22,561,negative,0.71619856,-2.35,4939770
2018-03-23,940,negative,0.9086094,-2.45,6654898
2018-03-26,709,negative,0.8666939,0.88,8375175
2018-03-27,1701,negative,0.7638721,-8.22,13872030
2018-04-02,3804,negative,0.84097934,-5.13,16113969
2018-04-03,163,negative,0.45845708,5.96,18844378
2018-04-05,391,negative,0.78626037,6.54,19121099
2018-04-13,1153,negative,0.7775133,2.13,7327223
2018-04-16,23,negative,0.7160709,-3.04,6338487
2018-04-26,403,negative,0.67335546,1.71,4356012
2018-04-30,120,negative,0.5932983,-0.06,4228171
2018-05-04,1409,negative,0.75563174,3.39,8569353
