date,change_percent,volume
2013-10-25,-2.02,7595457
2013-10-28,-4.01,7841727
2013-10-29,0.99,14111738
2013-10-30,-3.19,8401755
2013-10-31,0.45,9340454
2013-11-01,1.39,7180582
2013-11-04,8.04,13120369
2013-11-05,0.92,22467099
2013-11-06,-14.51,31071727
2013-11-07,-7.53,22284739
2013-11-08,-1.3,22477858
2013-11-11,4.89,13997590
2013-11-12,-4.77,14985159
2013-11-13,0.65,12658269
2013-11-14,-0.79,12203699
2013-11-15,-1.56,9900175
2013-11-18,-10.24,23138239
2013-11-19,3.71,19816149
2013-11-20,-3.95,13849550
2013-11-21,0.82,11903799
2013-11-22,-0.59,11104149
2013-11-25,-0.44,10275349
2013-11-26,-0.28,13885519
2013-11-27,5.35,12367629
2013-11-29,0.27,9716218
2013-12-02,-2.44,7751210
2013-12-03,16.53,25682398
2013-12-04,-3.97,13147689
2013-12-05,1.1,9288415
2013-12-06,-2.22,7909595
2013-12-09,3.09,9061484
2013-12-10,0.42,10748229
2013-12-11,-1.79,7137841
2013-12-12,5.6,10767788
2013-12-13,0.13,10599779
2013-12-16,0.19,6675275
2013-12-17,3.05,10494969
2013-12-18,-2.94,11581899
2013-12-19,-4.91,12758609
2013-12-20,1.79,7422536
2013-12-23,0.22,5385505
2013-12-24,5.48,9941484
2013-12-26,2.7,7129524
2013-12-27,-2.82,5469063
2013-12-30,0.87,4472075
2013-12-31,-1.32,4266709
2014-01-02,-0.22,6195354
2014-01-03,-0.36,4698837
2014-01-06,-1.71,5367319
2014-01-07,1.61,5041805
2014-01-08,1.29,6166673
2014-01-09,-2.48,5388904
2014-01-10,-1.23,7450531
2014-01-13,-4.38,6324646
2014-01-14,15.74,27935828
2014-01-15,1.77,20488979
2014-01-16,4.17,11982099
2014-01-17,-0.56,9216027
2014-01-21,3.92,9745764
2014-01-22,1.06,7036756
2014-01-23,1.65,7899515
2014-01-24,-3.8,7711295
2014-01-27,-2.85,8737772
2014-01-28,5.16,6128236
2014-01-29,-1.77,5956816
2014-01-30,4.34,8575209
